codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1000005,DGA,dga_web,Visviri,4080,-17.595,-69.4831,10,Altiplanicas,100,Entre Limite Peru-Bolivia Y Rio Lauca,1968-05-01,2019-12-31,18167,2017-08-02
1200002,DGA,dga_web,Villa Industrial (Tacora),4080,-17.7719,-69.7244,12,Rio Lluta,120,Rio Lluta Alto,1975-01-01,2019-11-30,15794,-
1200003,DGA,dga_web,Humapalca,3980,-17.835,-69.7039,12,Rio Lluta,120,Rio Lluta Alto,1971-12-01,2019-11-30,17393,-
1201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12,Rio Lluta,120,Rio Lluta Alto,2013-06-01,2019-12-31,2185,2017-04-04
1201010,DGA,dga_web,Alcerreca,3990,-17.9931,-69.6594,12,Rio Lluta,120,Rio Lluta Alto,1971-01-01,2019-11-30,17563,-
1201003,DGA,dga_web,Rio Lluta En Alcerreca,3550,-18.0036,-69.6331,12,Rio Lluta,120,Rio Lluta Alto,2001-12-01,2019-12-31,6277,2017-09-15
1001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10,Altiplanicas,100,Entre Limite Peru-Bolivia Y Rio Lauca,1970-01-01,2019-12-30,16160,-
1110001,DGA,dga_web,Puquios,3750,-18.1747,-69.7439,11,Quebrada De La Concordia,111,Quebrada De La Concordia,1975-05-01,1981-05-31,2105,-
1202009,DGA,dga_web,Pacollo,4185,-18.1769,-69.5092,12,Rio Lluta,120,Rio Lluta Alto,1978-11-01,1999-05-31,7395,-
1020014,DGA,dga_web,Cotacotani,4550,-18.1836,-69.2328,10,Altiplanicas,102,Rio Lauca,1961-04-01,2018-05-31,19947,-
1020013,DGA,dga_web,Isla Blanca,4540,-18.1858,-69.2142,10,Altiplanicas,102,Rio Lauca,1970-01-01,1989-06-30,7026,-
1020002,DGA,dga_web,Rio Desaguadero Cotacotani,4500,-18.1936,-69.2458,10,Altiplanicas,102,Rio Lauca,2015-04-01,2018-05-31,862,-
1202012,DGA,dga_web,Putre (Dcp),3560,-18.195,-69.5589,12,Rio Lluta,120,Rio Lluta Alto,2001-12-01,2019-12-31,6450,2017-09-29
1202010,DGA,dga_web,Putre,3545,-18.1992,-69.5603,12,Rio Lluta,120,Rio Lluta Alto,1968-01-01,2009-10-31,14940,-
1020015,DGA,dga_web,Parinacota Conaf Dga,4420,-18.2014,-69.2683,10,Altiplanicas,102,Rio Lauca,1932-12-01,1989-01-31,16411,-
1020017,DGA,dga_web,Parinacota Ex Endesa,4420,-18.2042,-69.2683,10,Altiplanicas,102,Rio Lauca,1983-01-01,2019-12-31,12810,2017-09-06
1202011,DGA,dga_web,Las Cuevas Conaf,4060,-18.2106,-69.5103,12,Rio Lluta,120,Rio Lluta Alto,1986-01-01,1988-01-31,730,-
1020016,DGA,dga_web,Chucuyo Reten,4400,-18.2164,-69.2956,10,Altiplanicas,102,Rio Lauca,1960-11-01,2019-12-31,20141,2019-02-28
1020018,DGA,dga_web,Chucuyo (Ex. Endesa),4400,-18.2181,-69.3214,10,Altiplanicas,102,Rio Lauca,1984-12-01,1990-03-31,1843,-
1010010,DGA,dga_web,Chungara Ajata,4585,-18.2353,-69.1833,10,Altiplanicas,101,Lago Chungara,1983-05-01,2019-12-31,12876,2017-10-02
1010009,DGA,dga_web,Chungara Guarderia,4600,-18.2669,-69.1167,10,Altiplanicas,101,Lago Chungara,1984-10-01,1987-12-31,824,-
1010007,DGA,dga_web,Chungara Reten,4570,-18.2808,-69.1383,10,Altiplanicas,101,Lago Chungara,1962-07-01,2019-11-30,17960,-
1300005,DGA,dga_web,Portezuelo Chapiquia,4375,-18.3272,-69.4661,13,Rio San Jose,130,Azapa Alto,1976-04-01,1979-12-31,488,-
1010008,DGA,dga_web,Missituni,4720,-18.3478,-69.1342,10,Altiplanicas,101,Lago Chungara,1967-09-01,1974-02-28,363,-
1300004,DGA,dga_web,Murmuntane,3550,-18.3519,-69.5519,13,Rio San Jose,130,Azapa Alto,1970-06-01,1987-12-31,3933,-
1300006,DGA,dga_web,Central Chapiquia,3350,-18.3722,-69.5481,13,Rio San Jose,130,Azapa Alto,1963-01-01,2019-12-31,19879,2017-09-22
1211006,DGA,dga_web,Lluta,290,-18.4103,-70.1692,12,Rio Lluta,121,Rio Lluta Bajo,1966-09-01,1993-12-31,5292,-
1300007,DGA,dga_web,Belen,3240,-18.4669,-69.5167,13,Rio San Jose,130,Azapa Alto,1938-01-01,2019-12-31,24118,2017-09-30
1310018,DGA,dga_web,Arica Oficina,20,-18.4775,-70.3208,13,Rio San Jose,131,Rio San Jose,1974-09-01,2019-12-24,16281,2019-02-28
1310021,DGA,dga_web,U. Del Norte,55,-18.4833,-70.2936,13,Rio San Jose,131,Rio San Jose,1980-12-01,1984-12-31,1191,-
1021002,DGA,dga_web,Rio Guallatire En Guallatire,4280,-18.4931,-69.1494,10,Altiplanicas,102,Rio Lauca,2015-06-01,2019-12-31,1643,2017-09-22
1021007,DGA,dga_web,Guallatire,4240,-18.4983,-69.1547,10,Altiplanicas,102,Rio Lauca,1969-01-01,2019-12-31,17851,-
1310022,DGA,dga_web,El Buitre Aerodromo,110,-18.5119,-70.2842,13,Rio San Jose,131,Rio San Jose,1985-09-01,2012-03-31,9676,-
1300009,DGA,dga_web,Rio Ticnamar En Angostura,3010,-18.5133,-69.5656,13,Rio San Jose,130,Azapa Alto,2006-01-01,2019-12-31,4688,2017-06-07
1310019,DGA,dga_web,Azapa,365,-18.5156,-70.1806,13,Rio San Jose,131,Rio San Jose,1966-08-01,2019-12-14,16738,2019-12-14
