SEAS   YR  ANOM
DJF  1950 -1.19
JFM  1950 -1.08
FMA  1950 -0.96
MAM  1950 -1.00
AMJ  1950 -0.99
MJJ  1950 -0.75
JJA  1950 -0.38
JAS  1950 -0.32
ASO  1950 -0.29
SON  1950 -0.38
OND  1950 -0.36
NDJ  1950 -0.50
DJF  1951 -0.28
JFM  1951  0.09
FMA  1951  0.48
MAM  1951  0.63
AMJ  1951  0.59
MJJ  1951  0.69
JJA  1951  0.79
JAS  1951  0.97
ASO  1951  1.04
SON  1951  0.98
OND  1951  0.94
NDJ  1951  0.71
DJF  1952  0.65
JFM  1952  0.33
FMA  1952  0.46
MAM  1952  0.24
AMJ  1952 -0.03
MJJ  1952 -0.45
JJA  1952 -0.41
JAS  1952 -0.14
ASO  1952  0.08
SON  1952  0.04
OND  1952 -0.10
NDJ  1952  0.10
DJF  1953  0.40
JFM  1953  0.67
FMA  1953  0.68
MAM  1953  0.72
AMJ  1953  0.94
MJJ  1953  0.84
JJA  1953  0.68
JAS  1953  0.73
ASO  1953  0.65
SON  1953  0.84
OND  1953  0.57
NDJ  1953  0.66
DJF  1954  0.63
JFM  1954  0.63
FMA  1954  0.31
MAM  1954 -0.02
AMJ  1954 -0.24
MJJ  1954 -0.21
JJA  1954 -0.45
JAS  1954 -0.62
ASO  1954 -0.54
SON  1954 -0.31
OND  1954 -0.09
NDJ  1954 -0.18
DJF  1955 -0.12
JFM  1955 -0.14
FMA  1955 -0.13
MAM  1955 -0.38
AMJ  1955 -0.36
MJJ  1955 -0.52
JJA  1955 -0.40
JAS  1955 -0.70
ASO  1955 -0.90
SON  1955 -1.31
OND  1955 -1.40
NDJ  1955 -1.31
DJF  1956 -0.81
JFM  1956 -0.40
FMA  1956 -0.12
MAM  1956 -0.09
AMJ  1956 -0.03
MJJ  1956 -0.01
JJA  1956 -0.15
JAS  1956 -0.18
ASO  1956 -0.12
SON  1956 -0.14
OND  1956 -0.14
NDJ  1956 -0.17
DJF  1957  0.00
JFM  1957  0.22
FMA  1957  0.53
MAM  1957  0.83
AMJ  1957  0.88
MJJ  1957  0.90
JJA  1957  1.03
JAS  1957  1.05
ASO  1957  1.14
SON  1957  1.16
OND  1957  1.45
NDJ  1957  1.75
DJF  1958  1.89
JFM  1958  1.79
FMA  1958  1.31
MAM  1958  0.95
AMJ  1958  0.66
MJJ  1958  0.56
JJA  1958  0.45
JAS  1958  0.26
ASO  1958  0.23
SON  1958  0.24
OND  1958  0.36
NDJ  1958  0.64
DJF  1959  0.77
JFM  1959  0.83
FMA  1959  0.64
MAM  1959  0.48
AMJ  1959  0.33
MJJ  1959  0.09
JJA  1959 -0.11
JAS  1959 -0.23
ASO  1959 -0.07
SON  1959  0.04
OND  1959  0.24
NDJ  1959  0.22
DJF  1960  0.20
JFM  1960  0.19
FMA  1960  0.21
MAM  1960  0.25
AMJ  1960  0.16
MJJ  1960  0.06
JJA  1960  0.12
JAS  1960  0.20
ASO  1960  0.26
SON  1960  0.08
OND  1960 -0.07
NDJ  1960 -0.09
DJF  1961  0.03
JFM  1961  0.08
FMA  1961  0.03
MAM  1961  0.06
AMJ  1961  0.24
MJJ  1961  0.30
JJA  1961  0.20
JAS  1961 -0.07
ASO  1961 -0.23
SON  1961 -0.16
OND  1961 -0.06
NDJ  1961  0.02
DJF  1962 -0.01
JFM  1962 -0.01
FMA  1962  0.00
MAM  1962 -0.16
AMJ  1962 -0.17
MJJ  1962 -0.14
JJA  1962  0.01
JAS  1962 -0.10
ASO  1962 -0.15
SON  1962 -0.30
OND  1962 -0.29
NDJ  1962 -0.37
DJF  1963 -0.29
JFM  1963 -0.12
FMA  1963  0.04
MAM  1963  0.06
AMJ  1963  0.01
MJJ  1963  0.37
JJA  1963  0.73
JAS  1963  1.08
ASO  1963  1.07
SON  1963  1.06
OND  1963  1.11
NDJ  1963  1.07
DJF  1964  1.00
JFM  1964  0.60
FMA  1964  0.10
MAM  1964 -0.37
AMJ  1964 -0.66
MJJ  1964 -0.66
JJA  1964 -0.59
JAS  1964 -0.55
ASO  1964 -0.53
SON  1964 -0.64
OND  1964 -0.58
NDJ  1964 -0.48
DJF  1965 -0.16
JFM  1965  0.10
FMA  1965  0.22
MAM  1965  0.36
AMJ  1965  0.64
MJJ  1965  1.01
JJA  1965  1.33
JAS  1965  1.49
ASO  1965  1.76
SON  1965  1.86
OND  1965  1.99
NDJ  1965  1.81
DJF  1966  1.53
JFM  1966  1.29
FMA  1966  1.04
MAM  1966  0.59
AMJ  1966  0.31
MJJ  1966  0.22
JJA  1966  0.32
JAS  1966  0.19
ASO  1966  0.00
SON  1966 -0.03
OND  1966 -0.12
NDJ  1966 -0.22
DJF  1967 -0.26
JFM  1967 -0.24
FMA  1967 -0.35
MAM  1967 -0.31
AMJ  1967 -0.09
MJJ  1967  0.21
JJA  1967  0.25
JAS  1967 -0.01
ASO  1967 -0.11
SON  1967 -0.08
OND  1967  0.01
NDJ  1967 -0.03
DJF  1968 -0.23
JFM  1968 -0.36
FMA  1968 -0.32
MAM  1968 -0.26
AMJ  1968  0.07
MJJ  1968  0.32
JJA  1968  0.56
JAS  1968  0.46
ASO  1968  0.39
SON  1968  0.56
OND  1968  0.74
NDJ  1968  1.02
DJF  1969  1.07
JFM  1969  1.00
FMA  1969  0.67
MAM  1969  0.44
AMJ  1969  0.37
MJJ  1969  0.30
JJA  1969  0.28
JAS  1969  0.34
ASO  1969  0.57
SON  1969  0.67
OND  1969  0.81
NDJ  1969  0.68
DJF  1970  0.46
JFM  1970  0.21
FMA  1970  0.24
MAM  1970  0.24
AMJ  1970  0.12
MJJ  1970 -0.23
JJA  1970 -0.47
JAS  1970 -0.64
ASO  1970 -0.55
SON  1970 -0.57
OND  1970 -0.55
NDJ  1970 -0.85
DJF  1971 -0.95
JFM  1971 -1.00
FMA  1971 -0.78
MAM  1971 -0.57
AMJ  1971 -0.48
MJJ  1971 -0.37
JJA  1971 -0.30
JAS  1971 -0.25
ASO  1971 -0.30
SON  1971 -0.40
OND  1971 -0.41
NDJ  1971 -0.38
DJF  1972 -0.21
JFM  1972  0.03
FMA  1972  0.32
MAM  1972  0.51
AMJ  1972  0.66
MJJ  1972  0.87
JJA  1972  1.14
JAS  1972  1.40
ASO  1972  1.64
SON  1972  1.82
OND  1972  1.97
NDJ  1972  1.88
DJF  1973  1.69
JFM  1973  1.25
FMA  1973  0.58
MAM  1973 -0.17
AMJ  1973 -0.73
MJJ  1973 -0.98
JJA  1973 -1.10
JAS  1973 -1.19
ASO  1973 -1.30
SON  1973 -1.63
OND  1973 -1.86
NDJ  1973 -1.91
DJF  1974 -1.60
JFM  1974 -1.28
FMA  1974 -0.97
MAM  1974 -0.84
AMJ  1974 -0.57
MJJ  1974 -0.50
JJA  1974 -0.27
JAS  1974 -0.21
ASO  1974 -0.24
SON  1974 -0.45
OND  1974 -0.59
NDJ  1974 -0.35
DJF  1975 -0.12
JFM  1975 -0.13
FMA  1975 -0.29
MAM  1975 -0.42
AMJ  1975 -0.61
MJJ  1975 -0.73
JJA  1975 -0.87
JAS  1975 -0.88
ASO  1975 -0.98
SON  1975 -0.95
OND  1975 -1.02
NDJ  1975 -1.11
DJF  1976 -1.00
JFM  1976 -0.65
FMA  1976 -0.26
MAM  1976 -0.14
AMJ  1976  0.01
MJJ  1976  0.27
JJA  1976  0.52
JAS  1976  0.72
ASO  1976  0.89
SON  1976  1.04
OND  1976  1.05
NDJ  1976  1.08
DJF  1977  0.96
JFM  1977  0.89
FMA  1977  0.46
MAM  1977  0.32
